CELTIC,SCOTLN,WALES,UNEMPL,MINMAN,MANUAL,NONMAN,ROOMPC,CARSPC,UNSKLL,PROFSS,EMPMAN,PERSWK,OWNHOM,WCLLAB,MCLCON,LABR66,LABR70,CONS66,CONS70
0,0,0,.017,.370,.659,.327,1.986,.159,.094,.042,.135,.180,.561,.289,.739,.240,.190,.430,.500
0,0,0,.011,.642,.794,.200,1.680,.091,.102,.014,.056,.196,.333,.463,.558,.690,.600,.290,.280
0,0,0,.010,.649,.698,.292,1.662,.125,.073,.027,.087,.225,.577,.443,.725,.550,.520,.450,.480
0,0,0,.014,.718,.793,.199,1.578,.121,.093,.025,.059,.276,.360,.681,.588,.760,.650,.240,.200
0,0,0,.005,.706,.774,.218,1.745,.171,.110,.030,.068,.184,.515,.462,.667,.600,.530,.400,.470
0,0,0,.005,.518,.619,.364,1.783,.209,.074,.052,.160,.189,.527,.466,.724,.440,.400,.560,.600
0,0,0,.008,.574,.675,.314,1.804,.152,.075,.040,.100,.187,.363,.459,.581,.500,.460,.500,.540
0,0,0,.006,.663,.742,.245,1.917,.195,.069,.028,.103,.134,.540,.418,.843,.520,.400,.480,.540
0,0,0,.004,.525,.652,.324,1.787,.233,.065,.047,.124,.184,.509,.430,.776,.470,.370,.530,.510
0,0,0,.012,.342,.739,.244,1.803,.208,.079,.029,.119,.262,.440,.338,.742,.420,.400,.460,.600
0,0,0,.021,.446,.784,.201,1.279,.077,.206,.013,.049,.198,.030,.627,.464,.830,.810,.170,.190
0,0,0,.013,.477,.696,.296,1.409,.103,.094,.024,.076,.185,.216,.459,.484,.670,.630,.280,.350
0,0,0,.003,.642,.710,.288,1.787,.187,.071,.031,.072,.176,.571,.500,.615,.550,.510,.330,.380
0,0,0,.006,.411,.602,.388,1.667,.150,.087,.048,.106,.152,.355,.409,.699,.520,.470,.390,.450
0,0,0,.007,.474,.510,.485,1.896,.181,.062,.050,.142,.120,.673,.519,.679,.470,.430,.420,.460
0,0,0,.008,.509,.567,.424,1.884,.201,.047,.048,.127,.131,.597,.437,.646,.450,.440,.460,.550
0,0,0,.007,.421,.476,.512,1.740,.232,.042,.081,.192,.125,.565,.460,.679,.360,.330,.470,.540
0,0,0,.004,.443,.355,.626,1.922,.247,.022,.117,.217,.072,.760,.354,.708,.290,.270,.530,.600
0,0,0,.004,.500,.656,.334,1.704,.160,.102,.046,.093,.146,.546,.446,.702,.510,.480,.430,.500
0,0,0,.020,.400,.603,.374,1.860,.137,.080,.036,.140,.139,.538,.344,.787,.340,.330,.400,.510
0,0,0,.004,.427,.406,.584,1.882,.279,.044,.118,.241,.092,.651,.359,.795,.250,.240,.550,.620
0,0,0,.003,.704,.671,.316,1.617,.203,.042,.052,.099,.205,.610,.288,.732,.480,.420,.420,.490
0,0,0,.020,.435,.613,.365,1.986,.149,.071,.038,.145,.174,.604,.407,.817,.400,.340,.470,.520
0,0,0,.005,.420,.506,.485,1.792,.242,.050,.092,.172,.151,.543,.405,.727,.330,.290,.470,.540
