statefips,countyfips,county,state,tporgs,tprallies,totalpop,lnpop,pctevang,pctcath,gini,racialsegregationindex,whitepop,pctwhite,blackpop,pctblack,latinopop,pctlatino,popover25,atleastBA25,pctBA25,pctemp,unemployedcivilian,pctunemp,medianfamincome,tot100kover,pct100kover,totalvote2008,repvote2008,demvote2008,othervote2008,reppct2008,dempct2008,otherpct2008,polheterogeneity2008
12,81,Manatee County,Florida,4,0,313011,12.65399,37.252,37.048,0.456,0.467,262656,83.912706,26434,8.445071,40322,12.881975,225150,58297,25.892516,92.9736,10356,7.0264,57760,22849,17.253904,151994,80721,70034,1239,53.108017,46.076819,0.815164,0.5055801
12,125,Union County,Florida,0,0,14574,9.586994,86.604,0,0.391,0.413,10793,74.056539,3243,22.251956,623,4.274736,10120,930,9.189723,90.631217,518,9.368783,50506,284,8.556794,5293,3940,1300,53,74.437937,24.560741,1.001323,0.3854761
12,129,Wakulla County,Florida,1,0,30232,10.31666,76.638,0,0.397,0.302,25484,84.294787,3824,12.648849,908,3.00344,21175,3656,17.265643,93.111543,1027,6.888457,61983,1594,14.549106,14376,8877,5311,188,61.748748,36.943517,1.307735,0.4820558
12,131,Walton County,Florida,2,0,52528,10.8691,70.768,7.635,0.48,0.44,45672,86.947913,3432,6.533658,1857,3.535257,37914,9432,24.877354,91.90863,2012,8.09137,55668,3906,18.142127,27046,19561,7174,311,72.324928,26.525179,1.149893,0.4064198
12,91,Okaloosa County,Florida,4,1,180955,12.106,59.537,15.26,0.423,0.308,148754,82.204968,17305,9.563151,10623,5.87052,118132,32437,27.458267,94.263577,4916,5.736423,64207,14046,18.977491,95529,68789,25872,868,72.0085,27.082875,0.908625,0.4080468
12,77,Liberty County,Florida,0,0,7811,8.963288,71.333,0,0.453,0.673,6884,88.132121,854,10.933299,525,6.72129,4896,536,10.947712,93.489051,223,6.510949,51450,258,13.694268,3278,2339,895,44,71.354484,27.303234,1.342282,0.4161269
12,55,Highlands County,Florida,3,0,97738,11.49005,63.481,14.853,0.417,0.43,82630,84.542348,9252,9.466124,15834,16.200454,72753,10053,13.817987,90.50643,3558,9.49357,41029,2716,6.707332,44783,26221,18135,427,58.551236,40.495277,0.953487,0.4930976
12,119,Sumter County,Florida,0,0,71519,11.17772,81.738,7.029,0.418,0.583,59992,83.882605,8845,12.367343,5700,7.96991,58010,8707,15.009481,90.951921,2343,9.048079,47383,3453,10.906851,48868,30866,17655,347,63.161987,36.127936,0.710076,0.4704832
12,41,Gilchrist County,Florida,0,0,16771,9.727407,95.883,0,0.435,0.289,15146,90.310655,801,4.776102,647,3.85785,10565,851,8.054898,92.951598,549,7.048402,46400,612,11.190346,7819,5656,1996,167,72.336616,25.527561,2.135823,0.4111196
12,59,Holmes County,Florida,1,0,19065,9.85561,87.662,1.961,0.401,0.441,17096,89.672174,1027,5.386835,468,2.45476,13106,1417,10.811842,92.526499,557,7.473501,42319,413,6.038895,8589,7033,1446,110,81.883805,16.835487,1.280708,0.3009969
12,79,Madison County,Florida,0,0,18924,9.848186,77.315,1.867,0.42,0.402,10919,57.699218,7224,38.173748,886,4.681885,12691,1410,11.110236,91.971255,648,8.028745,42031,581,8.784397,8907,4544,4270,93,51.016055,47.939823,1.044123,0.5098045
12,75,Levy County,Florida,2,0,38555,10.55984,77.16,5.834,0.429,0.481,33069,85.770977,3692,9.57593,2131,5.527169,27113,3334,12.296684,92.335503,1272,7.664497,40923,1057,7.303759,18725,11754,6711,260,62.771696,35.839786,1.388518,0.4773296
12,19,Clay County,Florida,2,0,179850,12.09988,54.3,23.621,0.389,0.286,149740,83.258271,17104,9.510147,12274,6.824576,115948,26511,22.86456,93.070071,6286,6.929929,67874,14076,21.537426,94577,67203,26697,677,71.056388,28.227793,0.715819,0.4153669
12,31,Duval County,Florida,4,2,846385,13.64873,57.674,18.851,0.445,0.452,534184,63.113595,246634,29.139694,51303,6.061426,549822,138107,25.118493,92.544496,32874,7.455504,59520,55107,16.365483,415761,210537,202618,2606,50.638949,48.734249,0.626802,0.5060277
12,21,Collier County,Florida,1,5,313165,12.65449,22.404,52.469,0.52,0.487,271290,86.628455,18104,5.780978,78805,25.164051,226841,69545,30.658038,93.602925,9028,6.397075,68327,30350,25.6575,141988,86379,54450,1159,60.835423,38.348311,0.816266,0.4827792
12,109,St. Johns County,Florida,3,1,174994,12.07251,31.852,42.308,0.48,0.305,156124,89.216773,10599,6.056779,7801,4.457867,122129,45935,37.611869,94.166338,5173,5.833662,79404,19643,29.310911,105844,69222,35791,831,65.400023,33.81486,0.785118,0.4578776
12,63,Jackson County,Florida,1,0,49618,10.81211,79.979,1.226,0.428,0.34,34338,69.204724,13001,26.202185,1811,3.649885,34581,4345,12.564703,91.089649,1633,8.910351,46149,1530,8.838311,21565,13717,7671,177,63.607698,35.571528,0.820774,0.4688053
12,133,Washington County,Florida,0,0,22997,10.04312,78.785,7.847,0.445,0.34,18448,80.219159,3099,13.475671,714,3.104753,16035,1926,12.011225,88.94364,1077,11.05636,45649,685,8.253012,11131,8178,2863,90,73.470488,25.720959,0.808553,0.3939866
12,117,Seminole County,Florida,5,0,408694,12.92072,36.062,44.82,0.439,0.361,325143,79.556588,42822,10.477766,62145,15.205753,273101,90565,33.161724,93.897282,13565,6.102718,69186,35959,23.720126,205895,105070,99335,1490,51.030865,48.245465,0.72367,0.5067702
12,127,Volusia County,Florida,10,1,494449,13.1112,31.816,40.621,0.451,0.476,414644,83.859812,48977,9.905369,49537,10.018627,354361,72752,20.530476,93.309668,15436,6.690332,54372,25039,12.518373,243824,113938,127795,2091,46.729608,52.412806,0.857586,0.5068506
12,39,Gadsden County,Florida,0,0,46725,10.75203,73.52,3.161,0.47,0.477,18837,40.314607,25480,54.531835,4083,8.738363,31399,3590,11.433485,91.373203,1656,8.626797,42869,1274,7.946607,22510,6811,15582,117,30.257663,69.222568,0.519769,0.429244
12,107,Putnam County,Florida,3,0,73250,11.20163,72.412,8.299,0.461,0.526,57894,79.036177,12201,16.656655,6072,8.28942,49870,6396,12.825346,89.668183,3067,10.331817,42352,2363,8.441396,33171,19637,13236,298,59.199301,39.902324,0.898375,0.490244
12,93,Okeechobee County,Florida,1,0,39936,10.59503,66.909,21.945,0.456,0.418,33252,83.263221,3168,7.932692,9128,22.856571,26284,2805,10.671892,90.948979,1609,9.051021,42150,974,7.629641,12786,7561,5108,117,59.134991,39.949945,0.915063,0.4906217
12,69,Lake County,Florida,5,0,297828,12.60427,50.03,23.045,0.429,0.386,252007,84.614946,25930,8.706367,29690,9.968841,220985,43050,19.48096,92.321236,9595,7.678764,54245,15609,13.31985,146926,82802,62948,1176,56.356261,42.843336,0.800403,0.498778
12,37,Franklin County,Florida,0,0,10998,9.305469,65.832,6.48,0.513,0.486,9418,85.633752,1283,11.665757,643,5.846518,8271,1593,19.260065,90.443619,489,9.556381,45788,451,10.011099,6029,3818,2134,77,63.327252,35.395588,1.27716,0.473518
12,3,Baker County,Florida,2,0,25478,10.14557,80.195,3.703,0.396,0.477,21355,83.817411,3254,12.771803,631,2.476647,16214,1092,6.73492,92.000737,868,7.999263,54676,730,9.505208,11059,8672,2327,60,78.41577,21.041686,0.542545,0.340792
12,35,Flagler County,Florida,2,0,85623,11.35771,21.451,59.645,0.418,0.222,72754,84.97016,8374,9.780082,6560,7.661493,63529,13230,20.825135,92.693031,2681,7.306969,54072,4733,12.890136,49031,23951,24726,354,48.848688,50.42932,0.721992,0.5070168
12,17,Citrus County,Florida,5,0,138161,11.83617,37.363,40.124,0.438,0.374,129082,93.428681,3902,2.824241,5348,3.870846,107696,18021,16.733212,89.836654,5270,10.163346,45201,5734,9.687611,76158,43706,31460,992,57.388587,41.308858,1.302555,0.4998432
12,11,Broward County,Florida,7,2,1759132,14.38033,16.983,45.928,0.469,0.479,1156014,65.715023,429809,24.433016,407221,23.148973,1204588,353093,29.312346,92.495783,69709,7.504217,62518,141324,21.078285,733899,237729,492640,3530,32.392604,67.126403,0.480993,0.4444534
12,67,Lafayette County,Florida,0,0,7981,8.984819,90.833,0,0.368,0.394,6964,87.257236,460,5.763689,513,6.427766,4883,325,6.655744,97.329377,81,2.670623,49050,273,14.233577,3359,2679,642,38,79.75588,19.112831,1.131289,0.327242
12,47,Hamilton County,Florida,1,0,14228,9.562967,82.987,2.31,0.469,0.311,8728,61.343829,5005,35.177116,1261,8.862806,9660,821,8.498965,87.947269,576,12.052731,42456,321,7.692308,5587,3179,2364,44,56.899946,42.312511,0.787543,0.4971427
12,113,Santa Rosa County,Florida,1,0,147302,11.90024,61.04,12.743,0.407,0.292,129958,88.22555,7143,4.849221,5764,3.913049,98986,23625,23.867011,92.219543,5486,7.780457,61632,8922,17.51885,76185,55972,19470,743,73.468531,25.556212,0.975258,0.3948304
12,1,Alachua County,Florida,1,1,238990,12.38418,46.24,21.825,0.524,0.365,172832,72.31767,46223,19.340977,17368,7.26725,127014,49870,39.263388,93.251925,8256,6.748075,59963,15225,15.77426,125519,48513,75565,1441,38.649926,60.202041,1.148033,0.4880579
12,101,Pasco County,Florida,1,0,453933,13.02571,30.265,51.59,0.431,0.368,410119,90.347915,17622,3.882071,44698,9.846828,326191,61791,18.943196,91.660782,17124,8.339218,52530,25180,14.07097,214866,110104,102417,2345,51.2431,47.665522,1.091378,0.5100952
12,53,Hernando County,Florida,4,0,166338,12.02178,24.383,60.41,0.42,0.391,151015,90.788034,8619,5.181618,14221,8.54946,122703,19770,16.112075,89.943516,6730,10.056484,50507,7700,11.417556,87901,45021,41886,994,51.217847,47.651335,1.130818,0.5104803
12,43,Glades County,Florida,0,0,11070,9.311994,42.667,49.507,0.465,0.544,9367,84.616079,985,8.897922,1936,17.488708,8091,874,10.802126,93.331837,297,6.668163,43953,415,11.20108,3358,1938,1381,39,57.712924,41.12567,1.161406,0.4976549
12,111,St. Lucie County,Florida,5,1,255984,12.45287,20.8,60.666,0.42,0.455,194823,76.107491,43278,16.906525,37165,14.518486,178741,32216,18.023845,90.202754,11539,9.797246,53271,13618,13.776011,120579,52512,67125,942,43.549872,55.668898,0.781231,0.5003772
12,33,Escambia County,Florida,1,0,303292,12.62245,62.571,17.915,0.452,0.422,214796,70.821519,65554,21.614154,11053,3.644343,195872,46433,23.705787,91.322991,12182,8.677009,52326,15026,12.795054,154447,91411,61572,1464,59.185999,39.866103,0.947898,0.4906813
12,13,Calhoun County,Florida,0,0,13525,9.512295,83.991,3.737,0.451,0.576,10782,79.719039,2451,18.121996,620,4.584104,9359,1023,10.930655,91.795633,387,8.204367,39464,306,7.121247,6244,4345,1821,78,69.586803,29.163997,1.249199,0.4305578
12,49,Hardee County,Florida,0,0,28684,10.26409,67.601,26.612,0.386,0.347,23202,80.8883,2329,8.119509,11878,41.409845,18069,1423,7.875367,90.619323,1136,9.380677,43692,639,7.590877,7412,4763,2568,81,64.260658,34.646519,1.092822,0.4668992
12,27,DeSoto County,Florida,0,0,34890,10.45996,69.055,8.432,0.431,0.404,27722,79.455431,4123,11.81714,11397,32.66552,23277,2203,9.464278,91.499018,1255,8.500982,42902,978,8.924172,10131,5632,4383,116,55.591748,43.263251,1.145,0.5036538
12,83,Marion County,Florida,2,1,318886,12.67259,43.319,33.364,0.44,0.419,264608,82.97887,36670,11.499407,28181,8.837327,231275,38860,16.802508,91.22626,11817,8.77374,47454,12971,9.845759,162022,89628,70839,1555,55.318414,43.72184,0.959746,0.5027353
12,65,Jefferson County,Florida,0,0,13933,9.542015,67.519,3.402,0.442,0.322,8853,63.539798,4602,33.029498,434,3.114907,9626,1663,17.276127,89.452302,701,10.547698,56242,625,13.188436,7957,3797,4088,72,47.71899,51.376147,0.904864,0.5082571
12,103,Pinellas County,Florida,10,0,915003,13.72668,28.146,34.546,0.468,0.494,767555,83.885517,91743,10.026525,62553,6.836371,676961,180902,26.722662,93.675402,28736,6.324598,57421,63951,15.699623,463282,210066,248299,4917,45.343009,53.59565,1.061341,0.5070391
12,29,Dixie County,Florida,0,0,14800,9.602383,85.523,2.941,0.409,0.613,13549,91.547297,1005,6.790541,188,1.27027,9895,576,5.821122,92.217826,413,7.782174,36351,222,5.530643,7264,5194,1925,145,71.503304,26.500551,1.996145,0.4181014
